序号,日期,标题,url,解读评论,媒体名称,分类,调性分,质量分,正负面,导入时间,发布时间,曝光,点击,CTR,位置
1,4.30.,90后靠玩课程表身价千万，称要拿1亿给员工分红，被周鸿祎猛批,http://view.inews.qq.com/a/20180430A0UTL600,,AI财经社,科技,中,3,中,2018/4/30 16:50,2018/4/30 16:38,--,--,--,科技频道-精品池
2,4.30.,格斗电竞主播生存现状,http://view.inews.qq.com/a/20180430A0RJKU00,,触乐,游戏,中,3,中,2018/4/30 15:40,2018/4/30 15:11,--,--,--,"科技频道-精品池,游戏频道-精品池"
3,4.30.,滴滴外卖订单暴跌50%：骑手报酬跌至15元,http://view.inews.qq.com/a/20180430A12DA200,,AI财经社,科技,高,3,中,2018/4/30 19:12,2018/4/30 19:09,--,--,--,"科技频道-精品池,财经频道-精品池,股票频道-精品池"
4,4.30.,2018谷歌开发者大会：作为一个中国大陆网民你该期待些什么？,http://view.inews.qq.com/a/20180430A0J6DU00,,极客公园,科技,中,3,中,2018/4/30 13:32,2018/4/30 11:35,--,--,--,"数码频道-精品池,科技频道-精品池,传媒频道-精品池"
5,4.30.,彭蕾：做到这四点，你就可以成为人才,http://view.inews.qq.com/a/20180430A0Z0AL00,,投资人说,职场,中,4,中,2018/4/30 23:48,2018/4/30 18:06,--,--,--,"科技频道-精品池,职场频道-精品池"
6,4.30.,免费的安卓帮国产手机击败苹果三星，谷歌能从中赚到什么？,http://view.inews.qq.com/a/20180430A13JSI00,1,每日经济新闻,科技,高,3,中,2018/4/30 19:33,2018/4/30 19:31,--,--,--,"股票频道-精品池,财经频道-精品池,广东地方站-精品池,科技频道-精品池,Top频道-精品池,三门峡地方站-精品池"
7,4.30.,乔布斯21年前接受采访视频曝光 讲述重回苹果心路历程,http://view.inews.qq.com/a/20180430V0AMWW00,,,其他,中,4,中,2018/4/30 8:49,2018/4/30 8:36,--,--,--,"上海地方站-精品池,Top视频-精品池,科技频道-精品池,Top频道-精品池,厦门地方站-精品池,广东地方站-精品池,职场频道-精品池"
8,4.30.,今日话题 | 5亿票房40万张退票 《后来的我们》咋了,http://view.inews.qq.com/a/20180430A0M2J400,,今日话题,娱乐,中,4,中,2018/4/30 12:54,2018/4/30 12:59,--,--,--,"独家频道-精品池,Top频道-精品池,电影频道-精品池,娱乐频道-精品池,必读频道-精品池,科技频道-精品池,广元地方站-精品池,河北分站-精品池,长沙地方站-精品池"
9,4.30.,因共享单车刹车线缺失  山东一大学生骑车摔破相,http://view.inews.qq.com/a/20180430V0LY5S00,,,其他,中,3,中,2018/4/30 12:43,2018/4/30 12:30,--,--,--,"东营地方站-精品池,趣闻频道-精品池,潍坊地方站-精品池,趣闻频道-热点池,济宁地方站-精品池,临沂地方站-精品池,精品排播-精品池,科技频道-精品池,长沙地方站-精品池,济南地方站-精品池"
10,4.30.,扎克伯格透露将测试太阳能无人机上网服务,http://view.inews.qq.com/a/20180430A12YWL00,,DoNews,科技,中,3,中,2018/4/30 19:23,2018/4/30 19:17,--,--,--,"科技频道-精品池,传媒频道-精品池"
11,4.30.,中国票房造假史：制片、发行、院线的权利游戏,http://view.inews.qq.com/a/20180430A0O3FI00,,虎嗅APP,娱乐,高,3,中,2018/4/30 13:49,2018/4/30 13:30,--,--,--,"财经频道-精品池,科技频道-精品池,Top频道-精品池,北京分站-精品池,传媒频道-精品池"
12,4.30.,硅谷科技巨头的最新革命：绕开华尔街，拿回融资主导权,http://view.inews.qq.com/a/20180430A1D0NZ00,1,DeepTech深科技,财经,高,3,中,2018/4/30 23:47,2018/4/30 22:28,--,--,--,"科技频道-精品池,Top频道-精品池,科普频道-精品池"
13,4.30.,英国莽汉司机认罪：放任特斯拉自动驾驶，自己躺在副驾悠哉悠哉,http://view.inews.qq.com/a/20180430A0UOAD00,,量子位,科技,高,3,中,2018/4/30 21:37,2018/4/30 16:35,--,--,--,"科技频道-精品池,Top频道-精品池,成都地方站（城市）-精品池"
14,4.30.,五一家里宅？你一样难以逃离BAT的“包围”,http://view.inews.qq.com/a/20180430A0XAFN00,,全天候科技,科技,高,3,中,2018/4/30 21:39,2018/4/30 17:31,--,--,--,"科技频道-精品池,Top频道-精品池,成都地方站（城市）-精品池"
15,4.30.,新零售浪潮下 “90后”成无人售货机核心消费群体,http://view.inews.qq.com/a/20180430A108YU00,,新民晚报,科技,高,3,中,2018/4/30 19:54,2018/4/30 18:26,--,--,--,"上海地方站-精品池,科技频道-精品池,Top频道-精品池"
16,4.30.,90后炒币大军众生相：有人徘徊在崩溃边缘，也有人一夜暴富,http://view.inews.qq.com/a/20180430A0RVFU00,,AI财经社,鸡汤,中,4,中,2018/4/30 15:24,2018/4/30 15:20,--,--,--,"科技频道-精品池,理财频道-精品池,股票频道-精品池,北京分站-精品池,财经频道-精品池,广东地方站-精品池"
17,4.30.,天猫精灵、小米小爱和小度在家：若家有小儿，智能音箱该咋选？,http://view.inews.qq.com/a/20180430A1DVUE00,1,李俊慧,数码,中,3,中,2018/4/30 23:46,2018/4/30 22:50,--,--,--,"科技频道-精品池,数码频道-精品池"
18,4.30.,在线度假旅游市场用户洞察：90后成主力 更关注用车消费,http://view.inews.qq.com/a/20180430A13XH400,,易观智库,科技,高,3,中,2018/4/30 23:46,2018/4/30 19:38,--,--,--,"科技频道-精品池,Top频道-精品池"
19,4.30.,知乎隐私政策升级 但你没法点击“不同意选项,http://view.inews.qq.com/a/20180430A1B5X200,,雷锋网,科技,高,3,中,2018/4/30 23:44,2018/4/30 21:45,--,--,--,"科技频道-精品池,Top频道-精品池"
